symbol,entry_date,entry_price,quantity,momentum_return_at_entry,rank_at_entry
SILVERBEES ,14-04-2026,224.97,444,180.40%,1
GOLDBEES ,14-04-2026,123.76,808,85.30%,2
PSUBNKBEES ,14-04-2026,96.77,1033,60.20%,3
CPSEETF ,14-04-2026,103.45,966,33.60%,4
MIDCAPETF ,14-04-2026,21.61,4627,19.50%,5
